invoice_no;products
LS34360;"1x Biryani de Pollo.: 1x Biryani de Pollo, 1x Sin Bebida; 
1x Biryani de Gambas.: 1x Coca-Cola Zero, lata 0.33l., 1x Biryani de Gambas; 
1x Pollo Makhani ""Butter Chicken"".: 1x Pollo Makhani ""Butter Chicken"", 1x Naan.; 
"
LS34345;"1x PACK PARA 2: 1x Samosa 1 unidad*, 1x Pollo Tikka Masala*, 2x Cobra - Cerveza de la India, botella 0,33l., 1x Naan de Queso., 2x Arroz Basmati Vegano., 1x Pollo Madrás*; 
"
LS34341;"1x Menú.: 1x Sin Postre , 1x Curry de Pollo, 1x Coca-Cola, lata 0.33l., 1x Arroz Basmati Vegano., 1x Samosa 1 unidad (vegano); 
1x Menú.: 1x Sin Postre , 1x Korma de Verduras (Vegano), 1x Coca-Cola, lata 0.33l., 1x Pakora (vegano), 1x Naan.;"
LS34311;"2x Pollo Tikka Masala. : 1x Pollo Tikka Masala, 1x Butter Naan.; 
1x Lachha Paratha.; 
2x Channa Masala (Vegano).: 1x Sin Pan/Arroz, 1x Channa Masala (Vegano); 
2x Curry de Pollo.: 1x Curry de Pollo, 1x Butter Naan.; 
1x Pollo Karahi.: 1x Arroz Basmati Ve"
LS34283;"1x Naan de Queso.; 
1x Menú.: 1x Agua en Botella 0,5cl, 1x Pakora (vegano), 1x Arroz Basmati Vegano., 1x Pollo Tikka Masala, 1x Sin Postre ; 
1x Menú.: 1x Pappad (vegano), 1x Sin Postre , 1x Pollo Korma, 1x Tandoori Roti (Vegano)., 1x Coca-C"
LS34253;"1x Indian Masala Pappad (vegano).: 1x Salsa Roja, 1x Indian Masala Papad (vegano); 
1x Pollo Korma.: 1x Pollo Korma, 1x Arroz Basmati Vegano.; 
1x Bhuna Ghost.: 1x Arroz Basmati Vegano., 1x Bhuna Ghost ; 
1x Salsa de Mango; 
1x Pollo Tikka Masala. : 1x Po"
LS34243;"1x Channa Masala (Vegano).: 1x Channa Masala (Vegano), 1x Butter Naan.; 
1x Pollo Jalfrezi.: 1x Arroz Basmati Vegano., 1x Pollo Jalfrezi; 
"
LS34232;"1x Pakora (vegano).: 1x Pakora (vegano), 1x Sin Salsa Extra; 
1x Palak Paneer (Vegetariano).: 1x Palak Paneer (Vegetariano), 1x Naan de Queso.; 
1x Salsa de Menta; 
1x Arroz al Limón Vegano.; 
"
LS34197;"1x Pollo Tikka Masala. : 1x Pollo Tikka Masala, 1x Arroz Basmati Vegano.; 
1x Pollo Tandoori.: 1x Naan de Queso., 1x Pollo Tandoori; 
"
LS34195;"1x Channa Masala (Vegano).: 1x Naan de Ajo., 1x Channa Masala (Vegano); 
1x Subzi Mixta (Vegano).: 1x Naan de Ajo., 1x Subzi Mixta (Vegano); 
1x Dal Amarillo (Vegano).: 1x Naan de Ajo., 1x Dal Amarillo (Vegano); 
"
LS34192;"1x Biryani de Pollo.: 1x Sin Bebida, 1x Biryani de Pollo; 
"
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
